,ext_ID,objID,specObjID,z,u_mag,g_mag,r_mag,i_mag,z_mag,w1mpro,w2mpro,w3mpro,w4mpro,o3_hB,n2_hA,s2_hA,o1_hA,o3_o2,ne3_o2,is_AGN,which_AGN,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,w1-w2,w1-w3,w1-w4,w2-w3,w2-w4,w3-w4
36,N_28_16,1237679253598372112,4.939405997292935e+18,0.6037915,20.82724,20.34258,20.40494,20.26951,20.05787,15.498,14.74,11.258,8.748,,,,,,,1,8,0.4846599999999981,0.4222999999999999,0.5577299999999994,0.7693699999999986,-0.062359999999998195,0.0730700000000013,0.28471000000000046,0.1354299999999995,0.34706999999999866,0.21163999999999916,0.7579999999999991,4.24,6.75,3.482000000000001,5.992000000000001,2.51
37,N_31_47,1237679322861863523,4.939413968752237e+18,0.6385708,23.90642,21.91786,19.46925,18.49152,18.02485,14.963,14.95,12.454,9.533,-inf,,,,,,1,8,1.9885599999999997,4.437170000000002,5.414899999999999,5.88157,2.448610000000002,3.4263399999999997,3.8930100000000003,0.9777299999999975,1.4443999999999981,0.4666700000000006,0.0129999999999999,2.5089999999999986,5.43,2.4959999999999987,5.417,2.921000000000001
38,N_28_4,1237679322324861149,4.939421940211538e+18,0.6016138,20.6974,20.23122,20.03362,19.80208,19.71792,15.232,14.424,11.803,8.615,,,,,,,1,8,0.4661799999999978,0.6637799999999991,0.8953199999999981,0.9794799999999988,0.19760000000000133,0.4291400000000003,0.513300000000001,0.23153999999999897,0.31569999999999965,0.08416000000000068,0.8079999999999998,3.4289999999999985,6.616999999999999,2.6209999999999987,5.808999999999999,3.1880000000000006
39,N_26_6,1237679254135177394,4.939423864356887e+18,0.2375611,20.78048,18.865,17.65205,17.08825,16.74286,13.806,13.162,10.448,8.021,0.6765905598067277,0.04208781480741032,-0.3421969923792366,-0.9907108742545966,0.27122668200033684,-0.8764877137991584,1,8,1.9154800000000023,3.1284300000000016,3.692230000000002,4.03762,1.2129499999999993,1.7767499999999998,2.122139999999998,0.5638000000000005,0.9091899999999988,0.3453899999999983,0.6439999999999984,3.3579999999999988,5.784999999999998,2.7140000000000004,5.141,2.4269999999999996
40,N_48_29,1237679322861732370,4.939425238746421e+18,0.4360716,22.90638,20.7326,18.94239,18.21392,17.81277,14.528,14.288,12.991,9.458,-0.32369352823071273,0.45181907922479225,0.06315833208042862,0.5783832169868922,-0.45269511002194457,-inf,1,8,2.173779999999997,3.963989999999999,4.692459999999997,5.093609999999998,1.7902100000000019,2.51868,2.919830000000001,0.728469999999998,1.1296199999999992,0.40115000000000123,0.2400000000000002,1.5370000000000008,5.07,1.2970000000000006,4.83,3.5329999999999995
41,N_48_37,1237679254135242972,4.939425788502235e+18,1.085434,21.51116,21.4269,20.98563,21.12454,21.32963,16.374,16.012,12.802,9.105,,,,,,,1,8,0.08426000000000045,0.5255299999999998,0.38662000000000063,0.18152999999999864,0.4412699999999994,0.3023600000000002,0.09726999999999819,-0.1389099999999992,-0.3440000000000012,-0.205090000000002,0.3619999999999983,3.571999999999999,7.268999999999998,3.210000000000001,6.907,3.696999999999999
42,N_26_8,1237679254135243179,4.939426063380142e+18,2.976604,24.64619,21.1611,20.9655,21.08244,21.34561,,,,,,,,,,,1,8,3.4850899999999996,3.680690000000002,3.5637500000000024,3.30058,0.19560000000000244,0.07866000000000284,-0.1845099999999995,-0.1169399999999996,-0.38011000000000195,-0.26317000000000235,,,,,,
43,N_67_40,1237679341105905916,4.939429087037118e+18,0.9930394,20.50654,20.32187,19.91648,20.16206,19.99875,16.171,15.093,12.307,8.993,,,,,,,1,8,0.18467000000000056,0.5900600000000011,0.3444800000000008,0.50779,0.4053900000000006,0.15981000000000023,0.3231199999999994,-0.24558000000000035,-0.08227000000000118,0.16330999999999918,1.0779999999999994,3.863999999999999,7.177999999999999,2.7859999999999996,6.1,3.314
44,N_27_43,1237679254135177498,4.93943705849642e+18,2.353295,23.01734,21.5748,22.07325,21.84006,21.89394,17.4,16.584,12.483,8.944,,,,,,,1,8,1.442540000000001,0.9440899999999992,1.1772799999999997,1.1234000000000002,-0.49845000000000184,-0.2652600000000014,-0.31914000000000087,0.23319000000000045,0.17931000000000097,-0.053879999999999484,0.815999999999999,4.916999999999998,8.455999999999998,4.100999999999999,7.639999999999999,3.5389999999999997
45,N_20_24,1237679253598044307,4.939443930444093e+18,2.733101,20.4878,19.8787,19.76456,19.85011,19.81717,16.676,16.38,12.407,9.03,,,,,,,1,8,0.6091000000000015,0.7232400000000005,0.6376899999999992,0.6706299999999992,0.11413999999999902,0.028589999999997673,0.06152999999999764,-0.08555000000000135,-0.05261000000000138,0.03293999999999997,0.2959999999999994,4.268999999999998,7.645999999999999,3.972999999999999,7.35,3.3770000000000007
46,N_19_41,1237679254134980944,4.939454925560371e+18,0.8849434,22.05696,21.18429,21.10275,20.9656,20.54378,16.124,15.198,12.311,9.301,,,,,,,1,8,0.8726699999999994,0.9542099999999998,1.0913600000000017,1.5131799999999984,0.08154000000000039,0.21869000000000227,0.640509999999999,0.13715000000000188,0.5589699999999986,0.42181999999999675,0.9259999999999984,3.812999999999999,6.822999999999999,2.8870000000000005,5.897,3.01
47,N_39_11,1237679322861273276,4.939455475316185e+18,2.775414,21.57644,20.21876,20.1337,19.93373,19.70303,16.588,15.5,12.791,8.846,,,,,,,1,8,1.357680000000002,1.4427400000000006,1.642710000000001,1.8734100000000034,0.08505999999999858,0.285029999999999,0.5157300000000014,0.19997000000000043,0.4306700000000028,0.23070000000000235,1.088000000000001,3.7970000000000006,7.742000000000001,2.7089999999999996,6.654,3.9450000000000003
48,N_80_10,1237679254134784340,4.939457124583627e+18,2.180217,22.19473,21.60628,21.50336,21.58317,21.07193,,,,,,,,,,,1,8,0.5884499999999981,0.6913699999999992,0.6115600000000008,1.1228000000000016,0.10292000000000101,0.02311000000000263,0.5343500000000034,-0.07980999999999838,0.4314300000000024,0.5112400000000008,,,,,,
49,N_37_74,1237679253597913644,4.939457674339441e+18,2.155542,21.82372,21.33101,21.31151,21.28923,21.48299,,,,,,,,,,,1,8,0.4927100000000024,0.5122100000000032,0.5344900000000017,0.34073000000000064,0.01950000000000074,0.04177999999999926,-0.15198000000000178,0.022279999999998523,-0.17148000000000252,-0.19376000000000104,,,,,,
50,N_22_52,1237679254671720587,4.939469494089439e+18,0.1399498,20.23804,18.26257,17.14645,16.68144,16.35614,13.65,13.031,11.01,8.74,0.6721415136140017,0.15486431009260612,-0.011452668588987544,-0.6042187999610512,0.03947825040849584,-0.8909979917079591,1,8,1.9754700000000014,3.09159,3.556600000000003,3.8819000000000017,1.1161199999999987,1.5811300000000017,1.9064300000000003,0.46501000000000303,0.7903100000000016,0.3252999999999986,0.6189999999999998,2.6400000000000006,4.91,2.021000000000001,4.291,2.2699999999999996
51,N_23_1,1237679254671851717,4.93948021432781e+18,0.3249385,23.61333,20.45472,18.70815,18.11482,17.66999,14.77,14.387,12.743,9.482,0.3392098432098821,-0.14624145184441925,0.2535307154773104,-inf,-0.015177136149540105,-1.0345321873174336,1,8,3.158610000000003,4.905180000000001,5.49851,5.943340000000003,1.7465699999999984,2.3398999999999965,2.7847299999999997,0.5933299999999981,1.0381600000000013,0.44483000000000317,0.3829999999999991,2.0269999999999992,5.288,1.6440000000000001,4.905000000000001,3.261000000000001
52,N_18_42,1237679254671917271,4.939480764083624e+18,0.85378,20.6593,20.25455,20.24361,20.23645,20.00675,16.576,15.619,13.103,9.006,,,,,,,1,8,0.4047500000000035,0.41569000000000145,0.4228500000000004,0.6525500000000015,0.010939999999997951,0.018099999999996896,0.24779999999999802,0.007159999999998945,0.23686000000000007,0.22970000000000113,0.9570000000000007,3.4730000000000008,7.57,2.516,6.6129999999999995,4.0969999999999995
53,N_18_40,1237679254671982877,4.939489560176646e+18,1.055822,21.41066,20.92001,20.68369,20.78753,20.92908,16.959,15.706,12.99,9.434,,,,,,,1,8,0.4906499999999987,0.7269700000000014,0.6231299999999997,0.481580000000001,0.23632000000000275,0.13248000000000104,-0.009069999999997691,-0.10384000000000171,-0.24539000000000044,-0.14154999999999873,1.2530000000000001,3.9689999999999994,7.525,2.7159999999999993,6.272,3.556000000000001
